product_id,product_name,quantity,price
P001,Wireless Mouse,45,19.99
P002,Mechanical Keyboard,12,79.99
P003,USB-C Cable,103,8.50
P004,HDMI Adapter,5,12.00
P005,Laptop Stand,27,25.00
P006,Gaming Headset,34,59.99
P007,External SSD 1TB,18,129.99
P008,Webcam 1080p,9,39.99
P009,Ergonomic Chair,4,249.00
P010,Desk Lamp,55,22.50
P011,Portable Charger 10000mAh,7,29.99
P012,Bluetooth Speaker,63,45.00
P013,Smartwatch,11,199.99
P014,Wireless Earbuds,2,89.99
P015,Monitor 27",19,179.00
P016,Monitor 32",6,259.00
P017,Keyboard Wrist Rest,90,14.99
P018,Mouse Pad,104,7.99
P019,Flash Drive 64GB,78,12.50
P020,Flash Drive 128GB,33,22.50
P021,Power Strip,5,19.00
P022,HDMI Cable,87,10.00
P023,USB Hub 4-Port,42,18.99
P024,Noise Cancelling Headphones,3,299.00
P025,Laptop Cooling Pad,21,27.50
P026,Monitor Arm,13,59.00
P027,Graphic Tablet,8,89.99
P028,Wireless Charger,2,24.99
P029,Smartphone Tripod,9,14.99
P030,LED Strip Lights,47,16.99
P031,VR Headset,4,349.99
P032,Microphone,6,59.99
P033,Camera Lens 50mm,5,199.00
P034,Camera Lens 85mm,3,449.00
P035,Desk Organizer,39,17.50
P036,Pen Tablet,12,69.99
P037,Webcam Cover,76,3.99
P038,Laptop Sleeve 15",34,25.00
P039,Laptop Backpack,27,49.99
P040,Monitor Stand,22,29.99
P041,Desk Mat,19,19.99
P042,WiFi Router,6,99.99
P043,Network Switch 8-Port,8,44.99
P044,Smart Plug,9,14.99
P045,Smart Light Bulb,5,12.50
P046,Mini Projector,7,189.00
P047,Drawing Monitor,2,499.00
P048,HD External HDD 2TB,14,79.99
P049,Mouse Bungee,33,11.50
P050,Webcam Ring Light,9,24.99
P051,Mechanical Pencil,53,3.49
P052,Notebook A5,72,5.99
P053,Printer Ink Cartridge,38,29.99
P054,Printer Paper Ream,88,6.50
P055,Label Maker,12,59.99
P056,USB Extension Cable,41,9.99
P057,DisplayPort Cable,25,14.99
P058,Tablet Stylus,7,29.99
P059,Smartphone Stand,3,15.99
P060,Wireless Router,4,129.99
P061,Action Camera,9,249.99
P062,Drone 4K,3,499.99
P063,Smart Thermostat,8,199.99
P064,Portable Monitor,7,179.99
P065,Laptop 15",11,899.00
P066,Laptop 13",9,1099.00
P067,Desktop PC,4,1299.00
P068,CPU Cooler,17,59.99
P069,Graphics Card,3,699.00
P070,Motherboard,12,189.00
P071,RAM 16GB,24,79.99
P072,RAM 32GB,10,139.00
P073,SSD 512GB,28,69.99
P074,SSD 1TB,17,119.99
P075,Power Supply 750W,8,109.99
P076,Case Fan,6,12.99
P077,PC Case ATX,4,99.00
P078,Keyboard Cleaner,11,9.50
P079,Desk Cable Organizer,43,8.99
P080,USB-C Dock,5,89.99
P081,Smartwatch Charger,8,19.99
P082,Webcam Mount,4,14.99
P083,Wireless Adapter,6,24.99
P084,Projector Screen,9,79.99
P085,Surge Protector,5,22.99
P086,MicroSD Card 128GB,54,19.99
P087,MicroSD Card 256GB,28,29.99
P088,Wireless Keyboard,7,49.99
P089,Laptop Docking Station,3,139.99
P090,Smart Speaker,6,99.99
P091,Monitor 24",8,139.00
P092,Desk Clock,14,19.99
P093,Ergonomic Mouse,3,69.99
P094,Wireless Presentation Remote,4,39.99
P095,Projector Ceiling Mount,2,49.99
P096,USB Fan,23,9.99
P097,HDMI Splitter,17,24.99
P098,Laptop Charger,8,59.99
P099,Webcam Privacy Shutter,5,6.99
P100,Mouse Skates,2,4.99
P101,Test Negative Quantity,-5,19.99
P102,Test Negative Price,10,-25.00
P103,Corrupted Entry,abc,12.00
P104,Blank Price,7,
P105,Blank Quantity,,45.00
